Island Group,Quality note,Quality,,Sample ID,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,SPOT image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,
Kalimantan,,6,,2935,Primary intact,NA,1990,High,Yes,High,,1996,1995,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2936,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2937,Primary degraded,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2938,Primary intact,NA,2006,High,No,High,cloud cover image from 1990-2015,,,,,,,,,,,,,,,,Hutan Primer,No free cloud image from 1990-2015,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2939,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2940,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2941,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2942,Primary intact,NA,1992,High,Yes,High,,1996,1993,Degraded - Nearby clearing,Low,,2015,2014,Cleared - Abandoned/transitional,Low,,,,,,,Belukar,,Degraded - Nearby clearing Cleared - Abandoned/transitional ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2943,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Rawa,,  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,1,,2944,Primary intact,NA,1990,High,Yes,High,,1997,1996,Degraded - Nearby clearing,High,,1999,1997,Cleared - Abandoned/transitional,High,,2002,2001,Cleared - Fire,High,,Lahan Terbuka,,Degraded - Nearby clearing Cleared - Abandoned/transitional Cleared - Fire,Disagree - minor,Yes,none,Yes,High,Yazid checked,,,2006,2005,Cleared - Abandoned/transitional,Low,,2015,2014,Cleared - Abandoned/transitional,High,,,,,,,
Kalimantan,,9,,2945,Primary intact,NA,1990,High,Yes,High,,1998,1997,Cleared - Abandoned/transitional,High,,,,,,,,,,,,Lahan Terbuka,,Cleared - Abandoned/transitional  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2946,Primary degraded,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Rawa Sekunder,,  ,Disagree - major,Yes,2011,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2947,Primary intact,NA,1996,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
