Island Group,Check,Quality note,Quality,Sample ID QC,Sample ID,SampleID (from user join),1990 Landcover,1990 sub-class,First year of cloud free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,Spot image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,,,
Sulawesi,Same sample ID,OK,9,6534,6534,6534,Non Forest,NA,1991,Low,No,High,Sample complete!,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - minor,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6535,6535,6535,Primary intact,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6536,6536,6536,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2011,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6537,6537,6537,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Tambak,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6538,6538,6538,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,Inconsistence,6,6539,6539,6539,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,forest regrowth in 2016,  ,Disagree - minor,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6540,6540,6540,Primary intact,NA,1996,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6541,6541,6541,Primary degraded,NA,1994,High,Yes,High,image not available until 1993,2015,2014,Degraded - Nearby clearing,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Disagree - major,Yes,2012,No,High,Yazid checked,no image in 1990-1993,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6542,6542,6542,Non Forest,NA,1991,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Disagree - minor,Yes,2014,No,High,Yazid checked,coconut plantation mix,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6543,6543,6543,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,"image not available until 1993, but in google earth since 1990 has non forest",  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6544,6544,6544,Primary intact,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6545,6545,6545,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,"image not available until 1993, but in google earth since 1990 has non forest",  ,Disagree - minor,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6546,6546,6546,Primary intact,NA,1997,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2010,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6547,6547,6547,Non Forest,NA,1991,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Disagree - minor,Yes,2014,No,High,Yazid checked,coconut plantation,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6548,6548,6548,Non Forest,NA,1997,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Savana,,  ,Disagree - minor,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6549,6549,6549,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pemukiman,"image not available until 1993, but in google earth since 1990 has non forest",  ,Agree,Yes,2016,No,High,Yazid checked,"Donggala City, no image in 1990-1993",,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6550,6550,6550,Primary degraded,NA,1998,Low,Yes,High,"image not available until 1997, but in google earth 1990 still forest and degraded in 1995",1999,1998,Degraded - Nearby clearing,High,Google detect the primary degraded since 1995,2003,2002,Cleared - Abandoned/transitional,High,,2015,2014,Cleared - Small-holder land use,Low,,Belukar,"image not available until 1997, but in google earth 1990 still forest and degraded in 1995",Degraded - Nearby clearing Cleared - Abandoned/transitional Cleared - Small-holder land use,Disagree - major,Yes,2014,No,High,Yazid checked,no image in 1985-1997,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6551,6551,6551,Primary intact,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6552,6552,6552,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,"image not available until 1993, but in google earth since 1990 has non forest",  ,Agree,Yes,2016,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6553,6553,6553,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Lahan Terbuka,,  ,Agree,Yes,2014,No,High,Inggit checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6554,6554,6554,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Rawa,"image not available until 1993, but in google earth since 1990 has non forest",  ,Agree,Yes,2014,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6555,6555,6555,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Inggit checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6556,6556,6556,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,"image not available until 1993, but in google earth since 1990 has non forest",  ,Agree,Yes,2016,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,Inconsistence,6,6557,6557,6557,Primary intact,NA,1994,High,No,High,"image not available until 1997, but in google earth 1990 still forest",,,,,,,,,,,,,,,,Hutan Primer,"image not available until 1997, but in google earth 1990 still forest",  ,Disagree - major,Yes,2016,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6558,6558,6558,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2016,No,High,Inggit checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6559,6559,6559,Primary intact,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2016,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6560,6560,6560,Primary intact,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2016,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6561,6561,6561,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Inggit checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6562,6562,6562,Primary intact,NA,1997,High,Yes,High,,2003,2002,Degraded - Selective Logging,High,,2010,2009,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Selective Logging Cleared - Small-holder land use ,Agree,Yes,none,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6563,6563,6563,Primary intact,NA,1995,Low,Yes,High,"image not available until 1994, but in google earth 1990 still forest",1999,1997,Degraded - Selective Logging,High,,2001,2000,Cleared - Small-holder land use,Low,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Selective Logging Cleared - Small-holder land use ,Agree,Yes,2016,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6564,6564,6564,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,"image not available until 1993, but in google earth since 1990 has non forest",  ,Agree,Yes,2016,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6565,6565,6565,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2016,No,High,Inggit checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6566,6566,6566,Non Forest,NA,1993,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,"image not available until 1992, but in google earth since 1990 has non forest",  ,Agree,Yes,2016,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6567,6567,6567,Primary intact,NA,1991,High,Yes,High,,1994,1991,Cleared - Abandoned/transitional,Low,,2001,2000,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Cleared - Abandoned/transitional Cleared - Small-holder land use ,Disagree - minor,Yes,2013,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6568,6568,6568,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Agree,Yes,2013,No,High,Inggit checked,no image 1990,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6569,6569,6569,Primary intact,NA,1990,High,Yes,High,Sample complete!,1993,1991,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Disagree - major,Yes,2014,No,High,Inggit checked,,,,,,,,,,,,,,,,,,,,
