ISLAND,ID,FINAL_LU_UMD,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,NUM_CHANGE,X1990_LC,CH1_YR,CH1_TYPE,CH2_YR,CH2_TYPE,CH3_YR,CH3_TYPE,CH4_YR,CH4_TYPE,CH5_YR,CH5_TYPE,CH6_YR,CH6_TYPE,KLHK_LU,TRAJECTORY
Kalimantan,3032,Cleared - Smallholder,1997,Degraded - Nearby clearing,1999,Cleared - Smallholder,3,Primary intact,1997,Degraded - Nearby clearing,1999,Cleared - Smallholder,2007,Cleared - Smallholder,0,NA,0,NA,0,NA,Pertanian Lahan Kering Campur Semak,Primary intact > Degraded - Nearby clearing > Cleared - Smallholder > Cleared - Smallholder
Kalimantan,4509,Cleared - Fire,1996,Degraded - Nearby clearing,1998,Cleared - Fire,3,Primary intact,1996,Degraded - Nearby clearing,1998,Cleared - Fire,2007,Cleared - Fire,0,NA,0,NA,0,NA,Belukar,Primary intact > Degraded - Nearby clearing > Cleared - Fire > Cleared - Fire
Kalimantan,4840,Cleared - Abandoned,1999,Degraded - Fire,2005,Cleared - Abandoned,3,Primary intact,1999,Degraded - Fire,2005,Cleared - Abandoned,2015,Cleared - Abandoned,0,NA,0,NA,0,NA,Belukar,Primary intact > Degraded - Fire > Cleared - Abandoned > Cleared - Abandoned
Kalimantan,3798,Cleared - Fire,2006,Degraded - Selective logging,2007,Cleared - Abandoned,3,Primary intact,2006,Degraded - Selective logging,2007,Cleared - Abandoned,2015,Cleared - Fire,0,NA,0,NA,0,NA,Belukar Rawa,Primary intact > Degraded - Selective logging > Cleared - Abandoned > Cleared - Fire
Kalimantan,2944,Cleared - Fire,1997,Degraded - Nearby clearing,1999,Cleared - Abandoned,3,Primary intact,1997,Degraded - Nearby clearing,1999,Cleared - Abandoned,2015,Cleared - Fire,0,NA,0,NA,0,NA,Belukar Rawa,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Fire
Kalimantan,3896,Cleared - Abandoned,2007,Degraded - Nearby clearing,2010,Cleared - Abandoned,3,Primary intact,2007,Degraded - Nearby clearing,2010,Cleared - Abandoned,2016,Cleared - Abandoned,0,NA,0,NA,0,NA,Lahan Terbuka,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Abandoned
Kalimantan,3386,Cleared - Palm estate,2e3,Degraded - Nearby clearing,2003,Cleared - Abandoned,3,Primary degraded,2000,Degraded - Nearby clearing,2003,Cleared - Abandoned,2014,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,5166,Cleared - Palm estate,2001,Degraded - Nearby clearing,2004,Cleared - Abandoned,3,Primary degraded,2001,Degraded - Nearby clearing,2004,Cleared - Abandoned,2011,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,4226,Cleared - Palm estate,1995,Degraded - Nearby clearing,2009,Cleared - Abandoned,3,Primary degraded,1995,Degraded - Nearby clearing,2009,Cleared - Abandoned,2014,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,3968,Cleared - Palm estate,2002,Degraded - Selective logging,2009,Cleared - Abandoned,3,Primary degraded,2002,Degraded - Selective logging,2009,Cleared - Abandoned,2015,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Selective logging > Cleared - Abandoned > Cleared - Palm estate
